subjectID,wave,run1,run2,run3,run4
DEV001,1,16,16,16,16
DEV001,2,,,,
DEV002,1,16,16,16,16
DEV002,2,,,,
DEV004,1,16,16,16,16
DEV004,2,16,16,16,16
DEV005,1,16,16,16,16
DEV005,2,16,16,16,16
DEV006,1,16,16,16,16
DEV006,2,,,,
DEV007,1,16,16,16,16
DEV007,2,,,,
DEV008,1,16,16,16,16
DEV008,2,16,16,16,16
DEV009,1,16,16,16,16
DEV009,2,16,16,16,16
DEV010,1,16,16,16,16
DEV010,2,16,16,16,16
DEV011,1,16,16,16,16
DEV011,2,16,16,16,16
DEV012,1,16,16,16,16
DEV012,2,16,16,16,16
DEV013,1,16,16,16,16
DEV013,2,16,16,16,16
DEV014,1,16,16,16,16
DEV014,2,16,16,16,16
DEV015,1,16,16,16,16
DEV015,2,16,16,16,16
DEV016,1,16,16,16,16
DEV016,2,16,16,16,16
DEV017,1,16,16,16,16
DEV017,2,16,16,16,16
DEV018,1,16,16,16,16
DEV018,2,16,16,16,16
DEV019,1,16,16,16,16
DEV019,2,16,16,16,16
DEV020,1,16,16,16,16
DEV020,2,16,16,16,16
DEV021,1,16,16,16,16
DEV021,2,16,16,16,16
DEV022,1,16,16,16,16
DEV022,2,,,,
DEV023,1,16,16,16,16
DEV023,2,16,16,16,16
DEV024,1,16,16,16,16
DEV024,2,16,16,16,16
DEV025,1,16,16,16,16
DEV025,2,16,16,16,16
DEV026,1,16,16,16,16
DEV026,2,16,16,16,16
DEV027,1,16,16,16,16
DEV027,2,16,16,16,16
DEV028,1,16,16,16,16
DEV028,2,16,16,16,16
DEV029,1,16,16,16,16
DEV029,2,16,16,16,16
DEV030,1,16,16,16,16
DEV030,2,16,16,16,16
DEV031,1,16,16,16,16
DEV031,2,16,16,16,16
DEV032,1,16,16,16,16
DEV032,2,,,,
DEV033,1,16,16,16,16
DEV033,2,16,16,16,16
DEV034,1,16,16,16,16
DEV034,2,,,,
DEV035,1,16,16,16,16
DEV035,2,16,16,16,16
DEV036,1,16,16,16,16
DEV036,2,16,16,16,16
DEV037,1,16,16,16,16
DEV037,2,,,,
DEV038,1,16,16,16,16
DEV038,2,16,16,16,16
DEV039,1,16,16,16,16
DEV039,2,16,16,16,16
DEV040,1,16,16,16,16
DEV040,2,16,16,16,16
DEV041,1,16,16,16,16
DEV041,2,16,16,16,16
DEV042,1,16,16,16,16
DEV042,2,16,16,16,16
DEV043,1,16,16,16,16
DEV043,2,16,16,16,16
DEV044,1,16,16,16,16
DEV044,2,16,16,16,16
DEV045,1,16,16,16,16
DEV045,2,,,,
DEV046,1,16,16,16,16
DEV046,2,16,16,16,16
DEV047,1,16,16,16,16
DEV047,2,16,16,16,16
DEV048,1,16,16,16,16
DEV048,2,16,16,16,16
DEV049,1,16,16,16,16
DEV049,2,16,16,16,16
DEV050,1,16,16,16,16
DEV050,2,16,16,16,16
DEV051,1,16,16,16,16
DEV051,2,16,16,16,16
DEV052,1,16,16,16,16
DEV052,2,16,16,16,16
DEV053,1,16,16,16,16
DEV053,2,16,16,16,16
DEV054,1,16,16,16,16
DEV054,2,16,16,16,16
DEV055,1,16,16,16,16
DEV055,2,16,16,16,16
DEV056,1,16,16,16,16
DEV056,2,16,16,16,16
DEV057,1,16,16,16,16
DEV057,2,16,16,16,16
DEV058,1,16,16,16,16
DEV058,2,16,16,16,16
DEV059,1,16,16,16,16
DEV059,2,16,16,16,16
DEV060,1,16,16,16,16
DEV060,2,16,16,16,16
DEV061,1,16,16,16,16
DEV061,2,16,16,16,16
DEV062,1,16,16,16,16
DEV062,2,16,16,16,16
DEV063,1,16,16,16,16
DEV063,2,16,16,16,16
DEV064,1,16,16,16,16
DEV064,2,16,16,16,16
DEV065,1,16,16,16,16
DEV065,2,16,16,16,16
DEV066,1,16,16,16,16
DEV066,2,16,16,16,16
DEV067,1,16,16,16,16
DEV067,2,16,16,16,16
DEV068,1,16,16,16,16
DEV068,2,16,16,16,16
DEV069,1,16,16,16,16
DEV069,2,16,16,16,16
DEV070,1,16,16,16,16
DEV070,2,16,16,16,16
DEV071,1,16,16,16,16
DEV071,2,,,,
DEV072,1,16,16,16,16
DEV072,2,16,16,16,16
DEV073,1,16,16,16,16
DEV073,2,16,16,16,16
DEV074,1,16,16,16,16
DEV074,2,16,16,16,16
DEV076,1,16,16,16,16
DEV076,2,,,,
DEV077,1,16,16,16,16
DEV077,2,16,16,16,
DEV078,1,16,16,16,16
DEV078,2,16,16,16,16
DEV079,1,16,16,16,16
DEV079,2,16,16,16,16
DEV080,1,16,16,16,16
DEV080,2,,,,
DEV081,1,16,16,16,16
DEV081,2,16,16,16,16
DEV082,1,16,16,16,
DEV082,2,,,,
DEV083,1,16,16,16,16
DEV083,2,16,16,16,16
DEV084,1,16,16,16,16
DEV084,2,16,16,16,16
DEV085,1,16,16,16,16
DEV085,2,,,,
DEV086,1,16,16,16,16
DEV086,2,,,,
DEV087,1,16,16,16,16
DEV087,2,,,,
DEV089,1,16,16,16,16
DEV089,2,,,,
DEV090,1,16,16,16,16
DEV090,2,,,,
DEV091,1,16,16,16,16
DEV091,2,,,,
